response_latency_ms,avg_pause_duration_ms,backspace_count,edit_intensity,cursor_corrections,first_keystroke_delay_ms,cognitive_bias_score,embodied_score,moral_reasoning_speed,response_entropy,humanity_score,agent_type
274.2,94.3,0,0.0892,0,111.7,0.958,0.125,582.0,4.026,0,gpt4
6203.6,296.1,15,0.4409,12,769.3,3.158,0.686,6227.3,3.444,1,human
395.8,90.7,1,0.1138,1,179.9,0.617,0.231,308.0,4.39,0,claude
252.6,64.1,1,0.2209,1,139.5,0.386,0.308,501.4,3.871,0,gemini
289.7,67.6,4,0.0504,0,71.2,0.249,0.124,503.8,4.264,0,llama
8273.3,737.4,8,0.4691,8,2065.1,2.9,0.788,17479.5,3.116,1,human
4820.8,326.9,14,0.4952,8,1197.7,2.469,0.831,4920.4,3.605,1,human
5244.3,444.2,10,0.3481,7,610.7,3.064,0.584,6118.5,3.333,1,human
1973.6,799.1,3,0.4227,7,668.3,2.747,0.578,9248.5,2.87,1,human
349.0,64.8,0,0.2794,0,144.3,0.787,0.127,796.3,4.456,0,gpt4
530.9,82.4,1,0.0836,0,168.7,1.058,0.032,529.7,4.54,0,mistral
4748.7,947.1,4,0.144,10,487.8,2.432,0.929,9031.5,3.697,1,human
339.5,93.9,0,0.1628,0,157.9,1.44,0.145,472.8,4.47,0,gemini
170.9,60.6,0,0.2517,1,205.8,0.053,0.084,421.8,4.895,0,claude
498.1,55.5,0,0.0649,0,83.5,0.314,0.24,703.2,3.799,0,llama
2453.3,298.4,15,0.3154,9,1384.2,2.615,0.789,7331.1,3.061,1,human
4810.5,256.9,12,0.5579,10,3006.2,2.725,0.934,6564.5,3.632,1,human
5161.6,908.9,7,0.4486,7,582.2,3.134,0.654,4132.1,4.398,1,human
412.3,82.4,1,0.0013,0,186.1,0.748,0.341,557.7,4.514,0,gemini
4620.9,913.3,16,0.2715,7,415.5,2.472,0.635,9500.4,3.198,1,human
5459.9,521.3,5,0.3683,9,2116.7,2.0,0.823,11316.5,3.83,1,human
200.3,32.0,0,0.0165,0,93.8,0.328,0.13,682.6,4.277,0,gpt4
2889.1,231.5,5,0.4893,3,3109.7,1.586,0.675,9629.5,3.593,1,human
517.6,77.2,1,0.0855,0,44.6,0.294,0.435,493.9,4.457,0,gemini
230.9,93.6,1,0.0171,0,81.5,0.625,0.154,612.3,4.526,0,claude
2579.2,849.1,10,0.4655,10,745.9,1.947,0.879,9579.2,3.476,1,human
786.3,32.5,2,0.0712,0,162.1,1.307,0.152,482.0,3.989,0,mistral
329.0,62.2,0,0.1277,0,143.5,0.73,0.099,666.5,4.317,0,llama
3319.1,327.1,4,0.0481,14,460.6,3.469,0.878,9118.9,4.658,1,human
1802.2,422.9,4,0.3381,9,1065.3,2.554,0.873,8825.7,3.161,1,human
267.4,62.1,0,0.1491,0,121.8,1.518,0.217,439.6,3.499,0,llama
4170.5,491.0,14,0.1565,14,2544.6,3.368,0.786,7152.7,4.183,1,human
535.3,48.2,0,0.0082,0,55.5,0.484,0.306,307.7,4.256,0,llama
381.0,84.7,0,0.041,0,125.9,0.37,0.195,546.4,4.34,0,claude
1996.3,287.6,2,0.1754,5,1127.7,2.77,0.912,4350.0,3.665,1,human
25000.0,583.3,6,0.081,9,1656.2,3.234,0.749,5383.3,4.218,1,human
356.6,53.8,1,0.1399,3,141.6,0.233,0.077,463.6,4.261,0,mistral
6737.9,343.5,10,0.2329,7,1631.2,1.868,0.508,4189.4,4.391,1,human
2467.1,356.5,7,0.4404,5,1590.8,3.109,0.953,7347.7,3.916,1,human
4919.0,600.3,14,0.1706,4,693.4,1.418,0.742,5377.8,4.606,1,human
4337.9,565.0,6,0.2611,9,1252.0,3.003,0.857,6535.4,3.103,1,human
2644.9,509.4,3,0.3525,10,1262.9,2.732,0.786,3879.7,4.043,1,human
6359.5,1130.4,3,0.2255,9,3254.9,3.048,0.715,6360.1,3.992,1,human
2556.0,256.6,0,0.5316,16,3022.8,2.379,0.622,4379.8,3.036,1,human
434.4,76.5,0,0.0293,2,117.1,0.472,0.317,528.6,4.439,0,gpt4
3876.8,651.8,15,0.1573,11,1194.3,2.391,0.865,4076.0,3.673,1,human
376.9,41.9,1,0.2557,0,218.9,0.475,0.363,487.0,4.119,0,mistral
302.6,84.3,3,0.3549,1,78.9,0.625,0.436,649.4,4.309,0,mistral
173.7,79.2,0,0.0332,0,100.0,1.101,0.273,501.3,4.56,0,gpt4
4738.4,427.4,8,0.0667,7,645.9,1.776,0.825,7740.4,2.892,1,human
308.8,91.5,1,0.1177,1,83.2,0.078,0.191,523.4,4.495,0,claude
6540.6,429.4,1,0.1508,8,1841.9,2.921,0.746,7446.1,3.513,1,human
243.9,61.9,2,0.0365,0,100.8,0.868,0.166,950.1,4.166,0,claude
276.4,76.9,0,0.0602,1,136.0,0.716,0.315,443.0,4.111,0,gpt4
320.3,75.1,0,0.1942,2,152.9,0.032,0.181,450.9,4.711,0,claude
569.9,69.4,1,0.0186,1,58.2,0.325,0.366,545.6,4.012,0,llama
6830.9,246.4,8,0.1396,15,288.5,2.198,0.887,5491.9,4.316,1,human
1670.1,229.9,3,0.3864,5,637.1,2.517,0.646,8066.8,3.981,1,human
6072.9,973.6,14,0.2404,8,1435.1,2.718,0.926,9625.0,3.027,1,human
5556.3,283.6,8,0.2573,12,1413.8,3.071,0.812,4488.3,3.452,1,human
311.3,52.6,1,0.3226,1,89.6,0.506,0.127,453.0,3.631,0,gpt4
453.2,52.8,0,0.0927,0,203.7,0.902,0.322,318.7,3.986,0,llama
2309.3,1531.1,8,0.1357,4,792.2,2.946,0.884,11717.7,2.673,1,human
9675.9,560.4,3,0.1907,14,402.0,1.189,0.59,10173.6,2.932,1,human
219.6,44.0,0,0.1145,4,125.8,0.955,0.358,616.4,4.728,0,gpt4
4410.2,283.6,7,0.3203,9,510.4,3.099,0.77,11772.2,4.197,1,human
4810.3,402.0,7,0.3409,10,696.0,2.672,0.725,11517.7,4.209,1,human
469.8,75.7,1,0.257,1,90.1,0.507,0.26,725.3,3.884,0,gpt4
321.3,67.4,0,0.068,0,113.7,0.325,0.266,558.4,4.301,0,gemini
270.4,67.4,1,0.2345,1,77.2,0.794,0.085,509.7,4.515,0,mistral
2560.2,370.4,13,0.1936,12,1401.7,2.362,0.762,6987.9,3.118,1,human
259.2,73.6,1,0.0469,2,128.3,0.244,0.257,610.6,4.327,0,claude
1717.0,620.2,7,0.5895,6,994.5,2.896,0.752,5422.3,3.494,1,human
3729.8,213.7,17,0.2577,10,1106.4,3.024,0.502,12958.1,5.182,1,human
398.0,58.7,1,0.2679,0,153.2,1.118,0.259,381.8,4.601,0,llama
7622.3,166.1,7,0.0682,3,1349.5,1.128,0.733,3571.9,3.047,1,human
373.2,80.3,0,0.1098,2,223.3,1.481,0.089,427.9,4.66,0,claude
297.3,81.5,0,0.2704,0,156.1,0.415,0.274,628.6,4.468,0,claude
326.4,38.0,1,0.0253,0,100.8,0.828,0.226,632.5,4.237,0,claude
3061.2,622.5,12,0.5642,11,378.6,3.469,0.778,3631.9,3.546,1,human
1391.4,1174.1,5,0.2076,5,1316.7,2.295,0.626,10878.3,4.07,1,human
5743.4,99.5,6,0.2477,6,1953.5,2.091,0.834,5009.4,3.925,1,human
409.0,77.9,1,0.1636,2,111.0,0.49,0.025,679.0,4.433,0,mistral
3191.6,315.6,6,0.2601,7,1083.4,3.447,0.94,4290.2,3.573,1,human
2079.3,486.9,5,0.4034,4,1108.4,3.29,0.641,8510.6,4.385,1,human
638.5,70.7,1,0.1081,1,210.3,0.77,0.258,486.3,4.495,0,gemini
167.5,66.6,1,0.1395,1,117.3,1.043,0.289,366.2,4.1,0,claude
5177.2,617.7,10,0.3886,7,436.3,2.094,0.834,7184.0,3.05,1,human
460.2,68.8,0,0.0699,0,192.2,0.744,0.082,985.7,4.563,0,mistral
236.1,106.8,1,0.136,0,53.2,0.465,0.061,389.0,4.812,0,claude
1452.3,235.3,4,0.4011,8,523.3,2.068,0.904,3163.2,4.508,1,human
915.5,77.4,2,0.184,2,91.5,1.129,0.198,577.4,4.598,0,llama
3015.8,493.5,5,0.4722,8,432.5,2.748,0.736,6561.5,3.575,1,human
4787.6,573.5,12,0.4265,9,4863.2,2.29,0.939,5634.5,3.699,1,human
8272.0,610.1,16,0.1265,5,1387.1,3.527,0.555,6851.0,4.067,1,human
5069.8,579.3,4,0.4564,7,960.8,3.179,0.839,6855.2,4.883,1,human
9663.7,230.0,4,0.185,8,357.8,3.386,0.909,5685.7,3.906,1,human
4137.6,310.0,3,0.2236,11,1882.2,2.008,0.626,9118.1,3.884,1,human
2980.6,479.2,1,0.1807,8,2975.0,1.65,0.697,17483.7,3.246,1,human
384.7,58.9,1,0.0203,1,147.5,0.205,0.16,404.8,3.971,0,gpt4
8733.9,1350.2,2,0.3516,9,712.7,2.269,0.72,9519.4,4.566,1,human
5205.8,627.6,3,0.0735,5,861.3,2.509,0.765,5854.5,2.711,1,human
12801.6,481.5,14,0.3978,4,1943.6,3.096,0.733,10020.7,3.315,1,human
381.9,87.6,2,0.0606,0,133.0,0.877,0.331,669.7,3.789,0,mistral
420.9,45.0,0,0.0206,1,166.3,2.301,0.299,393.2,4.264,0,mistral
1976.1,1192.1,8,0.4173,9,1282.6,3.467,0.884,6783.3,3.727,1,human
2218.0,656.7,2,0.2068,4,1035.1,1.755,0.392,4909.4,3.924,1,human
4508.5,729.4,11,0.1329,12,1259.6,2.839,0.471,6230.6,3.721,1,human
4142.7,433.8,4,0.3382,5,458.0,2.474,0.792,7713.2,4.775,1,human
2996.9,851.7,4,0.5404,9,874.6,2.786,0.868,5362.9,3.567,1,human
2586.5,178.5,4,0.2694,9,1599.2,2.21,0.87,3956.2,4.277,1,human
220.7,39.1,1,0.1313,1,51.7,1.687,0.089,353.4,4.081,0,gpt4
2902.5,654.9,7,0.207,6,811.0,2.727,0.701,5109.7,4.603,1,human
14569.4,810.5,5,0.2798,11,327.3,2.69,0.923,7477.6,3.219,1,human
233.9,75.2,0,0.0208,0,168.1,0.214,0.251,667.9,4.53,0,claude
3658.6,280.9,8,0.5044,8,1235.4,2.782,0.922,6700.3,4.286,1,human
11358.3,728.3,6,0.1706,9,1707.7,1.967,0.87,8396.8,2.839,1,human
6309.4,659.4,7,0.3878,5,1206.9,2.551,0.752,4041.7,4.115,1,human
2515.1,621.1,4,0.2796,5,595.9,3.81,0.59,5049.0,4.035,1,human
4728.5,306.7,3,0.4495,7,906.7,2.578,0.777,6040.2,4.753,1,human
5699.3,300.6,8,0.4576,9,2354.1,1.995,0.55,14115.4,3.481,1,human
3598.5,580.6,1,0.2044,7,2114.8,3.112,0.838,9509.8,4.392,1,human
9101.6,301.6,7,0.1616,13,1595.0,2.731,0.53,13773.3,3.355,1,human
289.5,102.5,2,0.124,0,168.0,0.084,0.458,513.3,4.127,0,gpt4
2669.5,1148.8,3,0.3762,13,573.4,1.336,0.714,12401.9,4.013,1,human
5760.5,173.8,3,0.6264,5,2063.3,3.314,0.501,6699.9,3.555,1,human
526.7,55.6,0,0.3398,2,77.5,0.291,0.127,501.0,4.593,0,gemini
10228.0,197.2,8,0.3657,12,2408.6,2.584,0.781,14253.5,3.468,1,human
2912.3,1220.0,4,0.3299,1,1077.3,3.062,0.847,7890.3,2.764,1,human
4049.3,430.7,11,0.3407,9,1387.2,1.907,0.475,6169.9,3.696,1,human
8659.1,508.0,6,0.4666,7,1625.7,3.095,0.9,8744.8,3.736,1,human
2707.4,505.2,11,0.3756,13,1661.4,3.463,0.744,11090.0,4.211,1,human
2272.2,515.9,4,0.1876,6,2020.4,2.225,0.59,8747.3,3.613,1,human
4471.6,410.3,3,0.4739,14,1053.2,2.781,0.587,6513.3,3.72,1,human
379.0,45.6,1,0.0436,0,52.6,1.46,0.268,485.6,5.166,0,gemini
3020.5,989.2,6,0.2149,9,259.1,2.548,0.747,6627.7,3.295,1,human
9253.3,178.5,1,0.7079,7,1499.1,2.581,0.593,7262.6,3.215,1,human
5418.5,593.6,5,0.207,9,1588.3,3.553,0.828,3158.6,5.207,1,human
2701.5,420.2,5,0.3632,13,1184.8,3.388,0.61,13072.2,3.654,1,human
262.7,77.4,2,0.0953,0,67.2,0.724,0.256,500.0,4.962,0,gemini
4483.8,575.5,6,0.3278,9,4772.9,2.464,0.473,6611.0,3.498,1,human
3156.8,435.2,12,0.2103,9,364.6,1.209,0.744,4552.1,2.945,1,human
3948.9,314.7,8,0.1899,12,2219.2,1.828,0.412,9945.7,2.903,1,human
3050.8,192.2,10,0.4959,7,1359.7,3.0,0.599,14311.4,4.492,1,human
575.3,83.8,0,0.0626,2,333.3,0.049,0.041,432.4,4.427,0,mistral
4692.2,173.2,7,0.2985,12,475.0,2.354,0.563,4963.2,2.628,1,human
4700.6,811.4,4,0.092,14,1292.4,1.384,0.836,9312.0,2.837,1,human
219.2,81.1,1,0.1011,2,140.0,1.68,0.287,452.2,4.275,0,gemini
2947.3,835.7,8,0.42,6,1199.8,3.374,0.961,6620.4,3.364,1,human
6094.7,353.2,9,0.1995,7,1016.2,3.16,0.908,14798.9,4.355,1,human
315.3,44.1,2,0.2939,1,305.8,0.799,0.298,604.7,3.91,0,mistral
4120.4,200.6,5,0.2528,8,371.5,2.994,0.908,4556.8,3.622,1,human
4666.0,530.3,1,0.2262,7,1923.9,2.557,0.651,4543.1,4.479,1,human
18759.2,795.0,6,0.251,6,2163.0,3.383,0.811,7018.9,2.836,1,human
310.2,56.2,1,0.0362,1,85.4,0.849,0.178,378.1,4.392,0,gpt4
3525.1,1140.6,7,0.5651,7,2906.4,1.774,0.615,6065.0,3.941,1,human
10159.2,200.1,15,0.1128,11,548.4,2.259,0.523,6412.7,3.798,1,human
4651.2,439.2,10,0.19,13,2949.2,2.392,0.782,8144.0,3.707,1,human
296.2,69.6,0,0.0399,0,129.9,1.09,0.448,631.1,4.152,0,claude
289.4,38.5,2,0.112,0,87.9,1.333,0.171,525.3,4.432,0,gemini
616.3,52.2,1,0.238,1,165.1,0.691,0.419,558.0,4.224,0,llama
3637.0,357.0,1,0.2988,7,1133.0,2.242,0.722,4318.9,3.782,1,human
4548.2,689.9,9,0.2668,8,537.0,1.049,0.862,6421.3,4.038,1,human
6954.2,1333.6,6,0.0623,15,1833.8,2.304,0.933,10376.2,3.796,1,human
2868.1,1550.1,3,0.3653,13,621.6,2.056,0.869,4737.7,4.195,1,human
282.2,63.9,0,0.0158,2,144.4,0.406,0.106,535.5,4.486,0,gpt4
3087.5,804.8,6,0.3586,9,916.5,3.364,0.693,13859.8,3.145,1,human
241.8,40.8,0,0.158,1,98.8,0.72,0.073,634.1,4.089,0,llama
6041.6,1081.3,8,0.2018,3,4170.5,2.214,0.947,4309.9,3.166,1,human
6224.0,534.6,18,0.2625,9,1298.7,2.508,0.676,8102.4,4.033,1,human
366.5,74.7,1,0.2165,0,94.9,0.276,0.188,439.9,4.172,0,gpt4
669.3,68.5,0,0.0991,3,116.2,1.38,0.359,531.7,3.985,0,llama
701.6,111.8,0,0.006,2,142.7,0.972,0.215,756.6,4.163,0,mistral
7977.0,376.8,6,0.3396,8,1522.2,3.318,0.743,6983.1,3.614,1,human
3558.6,358.1,6,0.3932,14,2840.9,2.683,0.844,13538.5,4.395,1,human
4859.3,389.6,2,0.1147,9,2700.7,1.99,0.915,5220.2,4.476,1,human
5927.3,323.4,8,0.2835,5,1283.3,2.34,0.65,7080.2,4.415,1,human
209.2,123.3,0,0.0972,3,104.6,1.138,0.223,431.7,4.374,0,claude
190.9,48.4,2,0.0666,2,426.1,0.212,0.33,904.5,4.247,0,gpt4
1711.1,309.2,4,0.4589,6,1636.3,3.026,0.934,9978.1,3.72,1,human
5289.9,617.8,6,0.1394,16,670.7,3.572,0.856,5587.4,3.75,1,human
6553.6,260.7,1,0.2755,9,3207.8,2.037,0.828,11676.7,3.525,1,human
545.2,53.7,0,0.2495,0,115.2,0.81,0.262,320.6,3.919,0,gemini
5096.4,780.2,8,0.3964,8,2242.9,1.959,0.919,9054.4,3.664,1,human
341.2,63.4,1,0.0797,0,144.2,0.925,0.389,300.0,4.453,0,llama
824.8,41.9,1,0.2222,1,113.5,0.988,0.314,300.0,4.392,0,llama
2495.5,196.0,1,0.2391,9,477.6,2.069,0.801,6817.6,3.589,1,human
4095.4,294.2,13,0.2451,6,1249.7,2.845,0.818,5928.4,3.445,1,human
3552.9,474.6,13,0.5022,9,1435.7,2.94,0.77,11809.5,3.696,1,human
6178.5,1560.9,6,0.1273,9,443.0,2.718,0.867,6883.3,3.235,1,human
3804.1,373.5,10,0.3309,7,1526.0,3.339,0.835,5985.1,4.022,1,human
463.6,101.1,0,0.2743,0,246.9,0.157,0.203,301.2,3.772,0,gpt4
4179.3,367.6,7,0.2279,9,559.7,3.544,0.808,7070.0,4.71,1,human
3105.3,281.3,4,0.1435,7,1460.1,2.62,0.871,5653.7,3.206,1,human
3128.4,909.6,4,0.1277,12,155.8,3.58,0.823,6628.1,3.289,1,human
7067.6,615.2,4,0.2946,4,743.5,3.073,0.656,8504.5,3.565,1,human
3603.0,942.6,4,0.6197,6,642.0,3.062,0.518,4426.5,3.089,1,human
249.4,39.8,1,0.0227,0,115.6,0.001,0.144,547.8,4.218,0,claude
5876.7,527.1,6,0.1266,6,965.8,2.217,0.556,5108.0,4.739,1,human
2531.4,982.8,14,0.0612,12,1249.4,2.802,0.736,2186.2,3.328,1,human
4901.2,855.4,6,0.152,9,2254.4,3.179,0.478,5593.1,4.114,1,human
413.6,78.6,2,0.1152,2,128.0,0.898,0.145,736.5,4.313,0,gpt4
160.2,79.8,0,0.1548,2,247.2,0.208,0.077,524.2,3.7,0,claude
12523.3,1090.5,4,0.0684,4,1131.1,2.769,0.836,5858.6,4.761,1,human
6043.6,635.5,5,0.0506,9,2284.1,3.492,0.768,2026.2,4.087,1,human
440.3,50.6,0,0.2176,1,87.5,0.488,0.086,750.6,3.934,0,gemini
7735.5,604.5,9,0.1716,10,403.4,2.628,0.833,7021.3,4.056,1,human
3606.3,597.0,7,0.3162,13,325.8,2.595,0.92,5955.1,3.951,1,human
655.6,59.4,5,0.1271,3,65.7,1.239,0.281,782.7,4.741,0,llama
5494.1,817.2,8,0.2698,15,1775.1,2.731,0.915,6426.4,3.208,1,human
2174.5,867.2,1,0.1819,9,1111.2,3.57,0.513,11282.7,3.008,1,human
2567.8,373.0,8,0.4778,17,381.9,2.142,0.748,10672.6,4.19,1,human
282.5,62.0,1,0.1854,1,222.3,0.533,0.078,590.3,4.209,0,claude
3178.1,341.1,6,0.3157,4,1491.0,2.399,0.563,12947.6,3.472,1,human
204.1,81.4,0,0.0316,1,171.9,0.94,0.091,506.7,4.286,0,claude
2463.3,1257.1,4,0.2477,8,1197.2,3.274,0.801,7717.9,3.729,1,human
5204.2,366.9,1,0.4765,9,727.8,2.931,0.772,5086.2,3.818,1,human
4437.8,687.8,8,0.1714,16,502.5,2.604,0.636,3909.4,3.71,1,human
6215.5,617.0,7,0.1167,10,1797.2,1.489,0.547,2961.9,4.673,1,human
7257.0,401.9,3,0.3112,5,1964.7,2.199,0.523,5747.5,4.03,1,human
3222.3,196.3,19,0.2532,13,1166.1,2.253,0.661,2687.2,2.663,1,human
480.3,67.9,2,0.0332,2,124.6,0.908,0.049,934.0,4.482,0,llama
3098.4,536.6,6,0.2656,15,761.5,3.23,0.753,7126.7,4.141,1,human
229.5,73.3,0,0.0407,3,105.5,1.369,0.255,711.0,4.366,0,gpt4
308.4,39.5,3,0.2613,0,143.9,1.721,0.481,300.0,4.768,0,mistral
10284.5,94.2,14,0.1119,3,4130.9,2.261,0.735,8493.7,3.305,1,human
3799.9,1160.6,12,0.2151,10,1153.4,3.03,0.72,11759.4,3.547,1,human
461.6,65.4,0,0.1141,0,227.4,0.605,0.17,300.0,3.449,0,gpt4
2710.2,401.9,5,0.2293,2,1179.5,2.239,0.538,4298.8,3.198,1,human
2569.3,361.6,12,0.0301,14,2136.6,2.803,0.844,11273.5,4.923,1,human
8535.6,523.8,4,0.2583,8,1197.0,2.966,0.825,5049.3,3.684,1,human
205.1,52.8,0,0.1319,0,165.1,0.413,0.44,955.0,4.76,0,claude
4693.3,914.1,7,0.1331,6,379.9,1.812,0.613,4316.5,3.168,1,human
4440.1,164.6,13,0.1972,7,2773.7,2.505,0.793,11282.4,5.234,1,human
2978.4,496.0,6,0.4643,5,1111.8,2.949,0.443,6800.4,4.307,1,human
5179.7,384.4,9,0.1329,7,841.5,2.73,0.831,11567.0,3.436,1,human
268.5,91.5,0,0.0397,1,191.6,0.954,0.113,300.0,4.615,0,gpt4
2720.0,632.9,5,0.3396,4,3044.9,2.305,0.702,6104.7,2.654,1,human
3608.9,708.4,10,0.3318,8,1929.2,3.358,0.862,14329.1,3.78,1,human
541.2,67.4,2,0.0093,2,81.0,1.164,0.335,840.4,4.522,0,gemini
1783.3,1792.9,4,0.182,9,1684.0,2.057,0.565,7328.8,3.213,1,human
379.3,84.4,1,0.1881,1,74.6,0.518,0.079,603.1,4.255,0,llama
